id,paper_count,pagerank
TR,163,0.25628384258636194
RM,60,0.2146616587870525
GN,919,0.063550552252696
PR,124,0.2002917624135262
PM,55,0.14863454792132905
CP,58,0.06246812820655999
ST,1652,0.05410950783247394
