id,title,pagerank,betweenness,in_degree,out_degree
dg-ga/9511008,Hamiltonian torus actions on symplectic orbifolds and toric varieties,2.927219026310537e-06,0.0,2.0,4.0
dg-ga/9707021,Lie Group Valued Moment Maps,2.9004849454260223e-06,0.0,2.0,10.0
dg-ga/9602003,Seiberg-Witten-Floer Theory for Homology 3-Spheres,2.876128810744902e-06,2.06892014286501e-06,3.0,5.0
dg-ga/9411009,Poisson structures on certain moduli spaces for bundles on a surface,2.8678094106447453e-06,0.0,5.0,1.0
dg-ga/9706014,"Simple homotopy type of the Novikov complex and Lefschetz
  $\zeta$-function of the gradient flow",2.8649819342021715e-06,1.806344256105479e-05,3.0,7.0
dg-ga/9612018,A symplectic proof of Verlinde factorization,2.857513593734042e-06,0.0,3.0,4.0
dg-ga/9709005,Higher-Order Lagrangian Formalism on Grassmann Manifolds,2.8425236638611105e-06,0.0,2.0,1.0
dg-ga/9409004,On the nonHamiltonian interaction of two rotators,2.833209880203161e-06,0.0,2.0,4.0
dg-ga/9711019,"Poisson harmonic forms, Kostant harmonic forms, and the
  $S^1$-equivariant cohomology of $K/T$",2.825309620707311e-06,0.0,4.0,2.0
alg-geom/9712024,Symplectic cutting of Kaehler manifolds,2.821664191473816e-06,0.0,2.0,1.0
dg-ga/9601012,A compact symmetric symplectic non-Kaehler manifold,2.785437981828769e-06,0.0,2.0,0.0
dg-ga/9510004,Periodic Hamiltonian flows on four dimensional manifolds,2.785437981828769e-06,0.0,2.0,2.0
dg-ga/9711004,"Critical-exponent Sobolev norms and the slice theorem for the quotient
  space of connections",2.7708212367575183e-06,0.0,7.0,4.0
alg-geom/9608029,"Intersection theory on moduli spaces of holomorphic bundles of arbitrary
  rank on a Riemann surface",2.769980809945188e-06,0.0,5.0,7.0
dg-ga/9702008,Duality for Lie-Rinehart algebras and the modular class,2.7637679349938048e-06,0.0,3.0,3.0
gr-qc/9705058,Universal Spin Structure in Gauge Gravitation Theory,2.759608450905896e-06,0.0,2.0,1.0
dg-ga/9710027,Generalized Symplectic Manifolds,2.759195672449716e-06,0.0,3.0,2.0
hep-th/9710048,Gauge theories on manifolds with boundary,2.717315054946265e-06,0.0,2.0,8.0
cond-mat/9703137,Local Writhing Dynamics,2.7015851643942016e-06,0.0,3.0,2.0
dg-ga/9708012,On the Kobayashi-Royden pseudonorm for almost complex manifolds,2.7015851643942016e-06,0.0,2.0,2.0
hep-th/9407037,Lagrangian Formalism Over Graded Algebras,2.7015851643942016e-06,0.0,2.0,5.0
dg-ga/9707019,Fusion of Hamiltonian loop group manifolds and cobordism,2.5743862635170345e-06,0.0,3.0,3.0
solv-int/9612004,"Riemannian Manifolds with Diagonal Metric. The Lam\'e and Bourlet
  Systems",2.5479571429128302e-06,0.0,2.0,1.0
dg-ga/9712010,"Weyl groups of Hamiltonian manifolds, I",2.516341409751863e-06,0.0,2.0,6.0
hep-th/9710168,Gauge theory and the division algebras,2.500360943634711e-06,3.456763818917326e-05,12.0,8.0
physics/9703016,Gauge-potential approach to the kinematics of a moving car,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9603017,"The hyperbolic moduli space of flat connections and the isomorphism of
  symplectic multiplicity spaces",2.4711431321721443e-06,0.0,1.0,1.0
dg-ga/9704008,A-hat Genus and Collapsing,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9710002,Residual Amenability and the Approximation of L^2-invariants,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9710025,Topology of solutions of the Liouville equation,2.4711431321721443e-06,0.0,1.0,0.0
hep-th/9611139,A Generalization of the Casson Invariant,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9712006,The decomposition and classification of radiant affine 3-manifolds,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9606012,Hinges and geometric constructions of boundaries of symmetric spaces,2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9702019,"Conformally flat Einstein-like 4-manifolds and conformally flat
  Riemannian 4-manifolds all of whose Jacobi operators have parallel
  eigenspaces along every geodesic",2.4711431321721443e-06,0.0,1.0,0.0
dg-ga/9710012,"Uhlenbeck compactness and transversality for the moduli space of PU(2)
  monopoles",2.4355468081364928e-06,0.0,8.0,0.0
dg-ga/9603015,Non-abelian convexity by symplectic cuts,2.4301016316239663e-06,0.0,3.0,5.0
dg-ga/9606007,Example of a non-log-concave Duistermaat-Heckman measure,2.428356873612775e-06,0.0,1.0,0.0
hep-th/9508162,"N=2 Supersymmetric QCD and Four Manifolds; (I) the Donaldson and the
  Seiberg-Witten Invariants",2.4058865166357524e-06,2.9704220226269734e-08,8.0,14.0
hep-th/9707118,Euclidean D-branes and higher-dimensional gauge theory,2.369253839861463e-06,3.133583684233856e-06,12.0,38.0
hep-th/9701128,The Geometry of Supersymmetric Gauge Theories in Four Dimensions,2.315902256500353e-06,4.239847185929424e-06,14.0,27.0
dg-ga/9701009,"Equivariant Holomorphic Morse Inequalities III: Non-Isolated Fixed
  Points",2.2960610328299915e-06,0.0,2.0,2.0
