source,target,weight,raw_count
Mathematical Physics,Exactly Solvable and Integrable Systems,8.819461987929457e-06,163
Exactly Solvable and Integrable Systems,Exactly Solvable and Integrable Systems,0.0004921217701675481,977
MP,Exactly Solvable and Integrable Systems,8.819461987929457e-06,163
GT,SG,0.00012162080703637445,916
SG,GT,0.00012082416419552483,910
AG,GT,1.6464059184678707e-05,656
AG,SG,6.690408376498937e-05,1243
Mathematical Physics,Differential Geometry,1.743694487020338e-05,1623
CO,Differential Geometry,2.8477653824575524e-06,107
MP,Differential Geometry,1.743694487020338e-05,1623
CA,MP,1.773847215355513e-05,507
CA,Differential Geometry,1.5521740007750522e-06,24
CA,Mathematical Physics,1.773847215355513e-05,507
GR,MP,2.5832849568167875e-06,86
GR,Mathematical Physics,2.5832849568167875e-06,86
Exactly Solvable and Integrable Systems,Differential Geometry,1.500260445213289e-05,150
GT,AG,1.0490818199993444e-05,418
SG,AG,5.538560112162032e-05,1029
Mathematical Physics,CV,9.691450479813726e-06,262
MP,CV,9.691450479813726e-06,262
OA,Differential Geometry,7.342283023694258e-06,124
Probability,CV,1.2592678003799922e-05,115
CV,MP,1.74963972402744e-05,473
CV,Probability,2.5951866842613754e-05,237
CV,CV,0.00020269692854121068,861
CV,Mathematical Physics,1.74963972402744e-05,473
RA,QA,4.732742851317943e-05,676
CT,QA,8.718825460486661e-05,460
QA,Exactly Solvable and Integrable Systems,3.7070545349362974e-05,365
Functional Analysis,Quantum Algebra,1.793809661419412e-05,91
AT,Quantum Algebra,9.265785346345791e-07,3
AT,QA,3.7288730816826346e-05,536
QA,RT,7.221735770837603e-05,1572
CV,AG,1.776559341927182e-05,363
CV,QA,7.359951918683918e-06,106
CV,RT,7.0093294174546325e-06,45
SG,RT,1.8843650803167788e-05,110
MG,Differential Geometry,3.526624186066378e-05,251
MP,KT,1.2936133103495618e-05,150
MP,AT,5.299894532098811e-06,143
Differential Geometry,KT,4.2723706428196116e-05,268
Differential Geometry,AT,3.014427047851015e-05,440
Mathematical Physics,KT,1.2936133103495618e-05,150
Mathematical Physics,AT,5.299894532098811e-06,143
SG,KT,6.0364019181270735e-05,100
SG,AT,3.528052426859063e-05,136
KT,KT,0.0007332466575213448,573
KT,AT,0.0001325349705343414,241
KT,SG,5.3723977071330955e-05,89
QA,KT,7.138935006876688e-05,441
QA,AT,5.196769014956955e-05,747
AT,KT,0.00013473472108262922,245
AT,Differential Geometry,2.466349402787194e-05,360
AT,AT,0.0003781389372263367,1600
AT,SG,3.631818674707859e-05,140
AT,GT,7.148833512376735e-05,591
CT,GT,1.0545933306858646e-05,32
QA,GT,5.533247697364251e-05,1554
CO,AG,1.6268330684490967e-05,854
RT,AG,2.930499243736908e-05,905
RA,AG,1.9097704051318836e-05,387
CO,QA,1.881006857567242e-05,696
,Probability,5.063393688986106e-06,21
,CO,4.237185540301687e-06,21
,RT,2.7438229685420695e-06,8
Algebraic Geometry,SG,8.32835892890521e-05,221
MP,AG,6.797807027452944e-06,884
Mathematical Physics,AG,6.797807027452944e-06,884
NT,Differential Geometry,1.6095433761209576e-06,45
NT,QA,6.937200538123367e-06,191
NT,SG,9.480521591210744e-07,7
NT,AG,2.035269817895833e-05,795
RA,Mathematical Physics,9.436373257870197e-06,253
RA,MP,9.436373257870197e-06,253
RA,SG,1.0181555407502397e-05,39
CT,Differential Geometry,1.511904850788057e-05,81
